className, methodName, marks
class tests.ArtistTest,testArtist,2.0
class tests.ArtistTest,testArtist,2.0
class tests.ArtistTest,testArtist,2.0
class tests.ArtistTest,testValidName,2.0
class tests.ArtistTest,testArtist,2.0
class tests.ArtistTest,testValidName,2.0
class tests.ArtistTest,testArtist,2.0
class tests.ArtistTest,testValidName,2.0
class tests.ArtistTest,testArtist,2.0
class tests.ArtistTest,testValidName,2.0
class tests.ArtistTest,testArtist,2.0
class tests.ArtistTest,testValidName,2.0
class tests.ArtistTest,testArtist,2.0
class tests.ArtistTest,testValidName,2.0
class tests.ArtistTest,testArtist,2.0
class tests.ArtistTest,testValidName,2.0
class tests.ArtistTest,testArtist,2.0
class tests.ArtistTest,testValidName,2.0
class tests.ArtistTest,testArtist,2.0
class tests.ArtistTest,testValidName,2.0
class tests.ArtistTest,testArtist,2.0
class tests.ArtistTest,testValidName,2.0
class tests.ArtistTest,testArtist,2.0
class tests.ArtistTest,testValidName,2.0
class tests.ArtistTest,testArtist,2.0
class tests.ArtistTest,testValidName,2.0
class tests.ArtistTest,testArtist,2.0
class tests.ArtistTest,testValidName,2.0
class tests.ArtistTest,testArtist,2.0
class tests.ArtistTest,testValidName,2.0
class tests.ArtistTest,testArtist,2.0
class tests.ArtistTest,testValidName,2.0
class tests.ArtistTest,testArtist,2.0
class tests.ArtistTest,testValidName,2.0
class tests.ArtistTest,testArtist,2.0
class tests.ArtistTest,testValidName,2.0
class tests.ArtistTest,testArtist,2.0
class tests.ArtistTest,testValidName,2.0
class tests.ArtistTest,testArtist,2.0
class tests.ArtistTest,testValidName,2.0
class tests.ArtistTest,testArtist,2.0
class tests.ArtistTest,testValidName,2.0
class tests.ArtistTest,testArtist,2.0
class tests.ArtistTest,testValidName,2.0
class tests.ArtistTest,testArtist,2.0
class tests.ArtistTest,testValidName,2.0
class tests.ArtistTest,testArtist,2.0
class tests.ArtistTest,testValidName,2.0
class tests.ArtistTest,testEquals,2.0
class tests.ArtistTest,testArtist,2.0
class tests.ArtistTest,testValidName,2.0
class tests.ArtistTest,testEquals,2.0
class tests.ArtistTest,testArtist,2.0
class tests.ArtistTest,testValidName,2.0
class tests.ArtistTest,testEquals,2.0
class tests.ArtistTest,testArtist,2.0
class tests.ArtistTest,testValidName,2.0
class tests.ArtistTest,testEquals,2.0
class tests.ArtistTest,testArtist,2.0
class tests.ArtistTest,testValidName,2.0
class tests.ArtistTest,testEquals,2.0
class tests.ArtistTest,testArtist,2.0
class tests.ArtistTest,testValidName,2.0
class tests.ArtistTest,testEquals,2.0
class tests.ArtistTest,testArtist,2.0
class tests.ArtistTest,testValidName,2.0
class tests.ArtistTest,testEquals,2.0
class tests.ArtistTest,testArtist,2.0
class tests.ArtistTest,testValidName,2.0
class tests.ArtistTest,testEquals,2.0
class tests.ArtistTest,testArtist,2.0
class tests.ArtistTest,testValidName,2.0
class tests.ArtistTest,testEquals,2.0
class tests.ArtistTest,testArtist,2.0
class tests.ArtistTest,testValidName,2.0
class tests.ArtistTest,testEquals,2.0
class tests.ArtistTest,testArtist,2.0
class tests.ArtistTest,testValidName,2.0
class tests.ArtistTest,testEquals,2.0
class tests.ArtistTest,testArtist,2.0
class tests.ArtistTest,testValidName,2.0
class tests.ArtistTest,testEquals,2.0
class tests.ArtistTest,testArtist,2.0
class tests.ArtistTest,testValidName,2.0
class tests.ArtistTest,testEquals,2.0
class tests.ArtistTest,testArtist,2.0
class tests.ArtistTest,testValidName,2.0
class tests.ArtistTest,testEquals,2.0
class tests.ArtistTest,testArtist,2.0
class tests.ArtistTest,testValidName,2.0
class tests.ArtistTest,testEquals,2.0
class tests.ArtistTest,testArtist,2.0
